Sector: Finance,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,TTM Ending (Results),Profit After Tax(Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Trustwave Securities Ltd.,TRUSTWAVE,Finance - NBFC,13.5,BSE,20.65,0.00,1,2025-09,-0.18,2025-09,0,0,-13.52,1,2025-03,-1.71,0,-52.97,"TRUSTWAVE,"
ACE Engitech Ltd.,ACEENGITEC,Finance - NBFC,13.42,BSE,156.20,,1,2025-06,-0.48,2025-06,0,0,-5.57,1,2024-03,0,-24.28,-24.25,"ACEENGITEC,"
RR Securities Ltd.,RRSECUR,Finance - Investment,13.42,BSE,44.46,,1,2025-06,0.12,2025-06,116.68,6.17,2.82,1,2024-03,0.03,2.14,2.12,"RRSECUR,"
Aroma Enterprises (India) Ltd.,AROMAENT,Finance - Investment,13.33,BSE,28.00,,1,2023-12,-0.1,2023-12,0,,-6.78,1,2023-03,-3.42,0,-5.82,"AROMAENT,"
First Custodian Fund (India) Ltd.,1STCUS,Finance - Investment,13.29,BSE,88.46,-1.15,1,2025-09,0.42,2025-09,31.64,0.5,0.87,1,2025-03,0,11.83,14.92,"1STCUS,"
Mehta Integrated Finance Ltd.,MEHIF,Finance - Investment,13.26,BSE,26.52,,1,2025-06,0.47,2025-06,28.33,2.25,0.78,1,2024-03,0.08,10.02,9.16,"MEHIF,"
Anjani Finance Ltd.,ANJANIFIN,Finance - NBFC,13.18,BSE,12.99,-1.07,1,2025-09,0.35,2025-09,37.75,3.47,0.87,2,2024-03,0,2.58,4.14,"ANJANIFIN,"
SV Trading & Agencies Ltd.,ZSVTRADI,Finance - Stock Broking,13.18,BSE,7.71,,1,2025-06,0.92,2025-03,14.33,2.5,0.31,1,2025-03,0,2.21,2.54,"ZSVTRADI,"
Ladam Affordable Housing Ltd.,LAHL,Finance - Investment,13.18,BSE,7.20,-1.91,2,2025-06,-0.08,2025-06,0,,0.48,2,2025-03,0.39,-0.18,-0.09,"LAHL,"
Libord Securities Ltd.,LIBORD,Finance - Investment,13.14,BSE,26.28,4.99,1,2025-09,-0.95,2025-09,0,,3.48,1,2025-03,0,-17.13,-17.03,"LIBORD,"
SI Capital & Financial Services Ltd.,SICAPIT,Finance - Investment,12.9,BSE,25.55,,1,2025-06,0.66,2025-06,19.43,0.53,2.27,1,2025-03,1.41,4.24,8.23,"SICAPIT,"
Indo-City Infotech Ltd.,INDOCITY,Finance - NBFC,12.65,BSE,12.16,-7.60,1,2025-09,-0.62,2025-09,0,0,1.07,1,2024-03,0,3.11,3.77,"INDOCITY,"
Modern Shares & Stockbrokers Ltd.,MODRNSH,Finance - Stock Broking,12.6,BSE,42.99,-0.02,1,2025-09,0.25,2025-09,49.81,2.42,0.97,1,2025-03,0,1.75,3.28,"MODRNSH,"
Minolta Finance Ltd.,MINOLTAF,Finance - NBFC,12.4,BSE,1.24,-4.62,1,2025-06,0.15,2025-06,84.93,-2.04,1.14,1,2025-03,4.43,0.11,0.4,"MINOLTAF,"
Rajputana Investment & Finance Ltd.,RAJPUTANA,Finance - Investment,12.32,BSE,40.00,0.00,1,2025-06,0.21,2025-06,58.67,0.71,3.04,1,2025-03,0,9.52,12.91,"RAJPUTANA,"
FGP Ltd.,FGP,Finance - NBFC,12.3,BSE,10.34,4.97,1,2025-09,-0.06,2025-09,0,0,3.36,1,2025-03,0,-0.98,0.04,"FGP,"
Dalal Street Investments Ltd.,DSINVEST,Finance - Investment,12.21,BSE,387.60,2.00,1,2025-06,-0.17,2025-06,0,0,2.58,1,2025-03,0.36,2.71,2.7,"DSINVEST,"
Vedant Asset Ltd.,VEDANTASSET,Finance - Asset Management,12.15,BSE,44.00,0.00,1,2025-03,0.22,2025-03,54.73,,2.24,2,2024-03,0,5.18,7.22,"VEDANTASSET,"
Interactive Financial Services Ltd.,IFINSER,Finance - Others,12.12,BSE,17.50,1.16,1,2025-06,1.44,2025-06,8.42,0.1,0.42,1,2025-03,0.02,14.06,19.72,"IFINSER,"
Prism Medico and Pharmacy Ltd.,PRISMMEDI,Finance - Investment,11.99,BSE,19.25,-2.97,1,2025-06,0.7,2025-06,17.12,,0.76,1,2024-03,0,-0.14,-0.14,"PRISMMEDI,"
Fruition Venture Ltd.,FRUTION,Finance - Stock Broking,11.76,BSE,29.41,,1,2025-06,0.06,2025-06,180.98,13.99,2.4,1,2024-03,0.3,-5.82,-3.26,"FRUTION,"
Ushakiran Finance Ltd.,USHAKIRA,Finance - NBFC,11.75,BSE,46.17,-5.00,1,2025-06,0.24,2025-06,49.78,1.4,0.72,1,2025-03,0,1.4,1.67,"USHAKIRA,"
DCM Financial Services Ltd.,DCMFINSERV,Finance - NBFC,11.73,NSE,5.17,-4.26,2,2025-06,-1.38,2025-06,0,,-0.23,2,2025-03,-1.39,0,-3.29,"DCMFINSERV,"
Inditrade Capital Ltd.,INDICAP,Finance - Stock Broking,11.7,BSE,5.01,-0.60,1,2025-03,-2.98,2025-03,0,,0.14,2,2024-03,1.26,2.5,10.93,"INDICAP,"
HCKK Ventures Ltd.,HCKKVENTURE,Finance - Investment,11.65,BSE,31.72,3.32,1,2025-06,0.3,2025-06,39.36,2.82,2.59,1,2025-03,0.01,5.15,6.82,"HCKKVENTURE,"
ArihantS Securities Ltd.,ARISE,Finance - Investment,11.52,BSE,23.40,1.78,1,2025-06,0.14,2025-06,82.84,1.41,0.3,1,2024-03,0,3.4,4.81,"ARISE,"
Lyons Corporate Market Ltd.,LYONSCO,Finance - NBFC,11.5,BSE,24.59,,1,2025-06,-0.39,2025-06,0,0,1.13,1,2025-03,0.9,-5.3,4.29,"LYONSCO,"
Kumbhat Financial Services Ltd.,KUMPFIN,Finance - NBFC,11.46,BSE,21.51,-3.11,1,2025-06,1.45,2025-06,7.89,0.18,2.12,1,2025-03,2.83,34.26,20.64,"KUMPFIN,"
JJ Finance Corporation Ltd.,JJFINCOR,Finance - NBFC,11.44,BSE,42.80,-3.99,1,2025-09,-0.03,2025-09,0,0,1.11,1,2025-03,0,2.66,4.55,"JJFINCOR,"
VB Desai Financial Services Ltd.,VBDESAI,Finance - Investment,11.33,BSE,25.03,-1.07,1,2025-09,0.78,2025-09,14.49,-13.54,0.91,1,2025-03,0,4.75,6.53,"VBDESAI,"
Goenka Business & Finance Ltd.,GBFL,Finance - NBFC,11.32,BSE,8.97,0.67,1,2025-06,-0.3,2025-06,0,0,0.37,1,2025-03,0,-1.86,52.33,"GBFL,"
RGF Capital Markets Ltd.,RGF,Finance - NBFC,11.25,BSE,0.75,7.14,1,2025-06,-0.02,2025-06,0,0,0.82,1,2024-03,0,0.01,0.02,"RGF,"
Pyxis Finvest Ltd.,PYXISFIN,Finance - NBFC,11.23,BSE,9.76,,1,2025-03,0.34,2023-03,9.39,0.18,0.62,1,2025-03,0,1.72,2.54,"PYXISFIN,"
Classic Leasing & Finance Ltd.,CLFL,Finance - NBFC,11.1,BSE,36.99,4.85,1,2025-06,0.57,2025-06,19.5,0.68,-2.77,1,2024-03,-1.74,0,12.84,"CLFL,"
Mercury Trade Links Ltd.,MERCTRD,Finance - Investment,10.96,BSE,8.05,4.55,1,2025-06,0.81,2025-06,13.46,0.27,0.18,1,2025-03,0,4.51,5.97,"MERCTRD,"
Inani Securities Ltd.,INANISEC,Finance - Stock Broking,10.9,BSE,23.92,0.00,1,2025-06,0.57,2025-06,19.19,1.32,0.56,1,2025-03,0.07,2.98,5.02,"INANISEC,"
VB Industries Ltd.,VBIND,Finance - Investment,10.88,BSE,8.30,-2.70,1,2025-06,-0.08,2025-06,0,0,0.11,1,2025-03,0,-0.1,0.29,"VBIND,"
Explicit Finance Ltd.,EXPLICITFIN,Finance - NBFC,10.82,BSE,11.68,1.92,1,2025-06,0.19,2025-06,56.97,4.96,1.35,1,2024-03,0,0.19,0.23,"EXPLICITFIN,"
Dhenu Buildcon Infra Ltd.,DHENUBUILD,Finance - Stock Broking,10.78,BSE,5.89,,1,2025-06,0.03,2025-06,384.95,42.58,3.72,1,2025-03,385.67,-14.17,-0.07,"DHENUBUILD,"
Money Masters Leasing & Finance Ltd.,MMLF,Finance - NBFC,10.74,BSE,1.08,0.93,1,2025-09,0.35,2025-09,30.86,23.74,0.82,1,2025-03,0.81,3.96,4.44,"MMLF,"
Trinity League India Ltd.,TRINITYLEA,Finance - Others,10.43,BSE,13.17,0.00,2,2025-06,0.02,2025-06,579.25,-30.15,3.32,2,2024-03,0,-60.03,-59.96,"TRINITYLEA,"
Hasti Finance Ltd.,HASTIFIN,Finance - NBFC,10.36,BSE,9.56,1.92,1,2025-06,-8.11,2025-06,0,,0.87,1,2024-03,0,-2.48,-2.67,"HASTIFIN,"
Octal Credit Capital Ltd.,OCTAL,Finance - NBFC,10.23,BSE,20.16,,2,2025-06,0.05,2025-06,0,0,0.44,2,2025-03,0,-2.79,-2.46,"OCTAL,"
Northlink Fiscal and Capital Services Ltd.,NORTHLINK,Finance - NBFC,10.21,BSE,19.44,-4.99,1,2024-12,-0.37,2025-03,0,,2.03,1,2025-03,0.18,-14.38,-9.96,"NORTHLINK,"
Mid East Portfolio Management Ltd.,MIDEASTP,Finance - Investment,10.12,BSE,20.11,-4.78,1,2025-06,1.63,2025-06,6.21,0.03,2.09,1,2025-03,0,12.2,12.2,"MIDEASTP,"
Vikalp Securities Ltd.,VIKALPS,Finance - Investment,9.9,BSE,32.46,0.50,1,2025-06,-0.72,2025-06,0,,2.77,1,2024-03,0,0.46,0.5,"VIKALPS,"
ISF Ltd.,ISFL,Finance - NBFC,9.88,BSE,1.04,4.00,1,2025-06,-0.03,2025-06,0,,0.74,1,2025-03,0.25,-0.05,1.93,"ISFL,"
Thirani Projects Ltd.,TPROJECT,Finance - NBFC,9.78,BSE,4.60,-4.17,1,2025-06,0.87,2025-06,11.23,0.16,0.77,1,2024-03,0,-41.13,-41.13,"TPROJECT,"
N2N Technologies Ltd.,NNTL,Finance - Investment,9.68,BSE,29.99,,1,2025-06,1.43,2025-06,6.76,0.09,1.59,1,2024-03,0.04,0.67,-0.56,"NNTL,"
Alexander Stamps And Coin Ltd.,ALEXANDER,Finance - Investment,9.66,BSE,10.79,4.25,1,2025-06,-0.04,2025-06,0,0,0.57,1,2025-03,0.01,-0.23,-0.23,"ALEXANDER,"
Sanchay Finvest Ltd.,SANCF,Finance - Investment,9.55,BSE,30.32,0.00,1,2025-06,-1.12,2025-06,0,0,3.79,1,2024-03,0,-4.39,-1.64,"SANCF,"
GACM Technologies Ltd. - (DVR),GATECHDVR,Finance - Stock Broking,9.48,NSE,0.50,0.00,1,2018-03,-4.49,2018-03,0,,,1,-0,,,,"GATECHDVR,"
Pasupati Fincap Ltd.,PASUFIN,Finance - Investment,9.47,BSE,20.14,,1,2025-06,-0.18,2025-06,0,,-14.14,1,2025-03,-1.04,0,-3436.27,"PASUFIN,"
Krishna Capital And Securities Ltd.,KRISHNACAP,Finance - NBFC,9.25,BSE,29.30,-0.27,2,2025-06,0.13,2025-06,0,0,1.47,2,2025-03,0,0.16,0.18,"KRISHNACAP,"
Ganesh Holdings Ltd.,GANHOLD,Finance - NBFC,9.2,BSE,103.23,,1,2025-06,-0.3,2025-06,0,0,1.39,1,2024-03,0,-2,-2.3,"GANHOLD,"
AF Enterprises Ltd.,AFEL,Finance - Investment,9.03,BSE,2.56,4.92,1,2024-12,-0.9,2024-12,0,,0.15,2,2024-03,0.2,0.66,0.26,"AFEL,"
Kinetic Trust Ltd.,KINETRU,Finance - NBFC,8.98,BSE,26.74,,1,2025-09,0.32,2025-09,28.43,0.49,2.22,1,2025-03,3.8,4.63,5.65,"KINETRU,"
Systematix Securities Ltd.,SYTIXSE,Finance - Investment,8.96,BSE,17.92,1.99,1,2025-06,-0.09,2025-06,0,,1.04,1,2025-03,0,-0.94,-0.95,"SYTIXSE,"
Mahamaya Investments Ltd.,MILLENNIUM,Finance - Investment,8.85,BSE,1.77,-4.84,2,2025-06,-0.16,2025-06,0,,2.2,2,2025-03,0.4,-5.63,-4.59,"MILLENNIUM,"
GCM Capital Advisors Ltd.,GCMCAPI,Finance - Investment,8.72,BSE,5.15,,1,2025-03,-0.18,2025-03,0,,0.34,1,2025-03,0.02,-0.7,1.11,"GCMCAPI,"
SW Investments Ltd.,SW1,Finance - Investment,8.71,BSE,96.78,,1,2025-06,0.12,2025-06,70.24,4.38,1.12,1,2025-03,0,1.03,1.37,"SW1,"
Citi Port Financial Services Ltd.,CITIPOR,Finance - NBFC,8.69,BSE,28.03,0.00,1,2025-06,0.1,2025-06,87.77,2.75,2.71,1,2024-03,0.42,0.86,2.51,"CITIPOR,"
Gallops Enterprises Ltd.,GALLOPENT,Finance - NBFC,8.62,BSE,17.20,,1,2025-06,-0.14,2025-06,0,,6.43,1,2024-03,0,0.4,0.4,"GALLOPENT,"
Manipal Finance Corporation Ltd.,MNPLFIN,Finance - NBFC,8.36,BSE,9.97,,1,2025-06,7.22,2025-06,1.16,0.21,-1.07,1,2025-03,-0.51,0,0,"MNPLFIN,"
Mathew Easow Research Securities Ltd.,MATHEWE,Finance - NBFC,8.19,BSE,12.32,,1,2025-06,0.08,2025-06,99.91,-10.47,0.58,1,2025-03,1.55,0.59,4.73,"MATHEWE,"
Galada Finance Ltd.,GALADAFIN,Finance - NBFC,8.19,BSE,27.30,0.00,1,2025-06,0.26,2025-06,32.12,1.71,1.41,1,2025-03,1.14,4.4,7.66,"GALADAFIN,"
Clio Infotech Ltd.,CLIOINFO,Finance - Investment,8.16,BSE,7.41,,1,2025-09,0.02,2025-09,479.95,29.81,0.78,1,2025-03,0.61,0.55,0.51,"CLIOINFO,"
Sashwat Technocrats Ltd.,SASHWAT,Finance - Investment,8.13,BSE,265.50,,1,2025-06,-0.05,2025-06,0,,6.23,1,2024-03,0.03,7.52,7.3,"SASHWAT,"
Rich Universe Network Ltd.,RICHUNV,Finance - Investment,7.96,BSE,10.98,-0.18,1,2025-06,-0.32,2025-06,0,0,1.13,1,2025-03,0.22,-4.05,-3.32,"RICHUNV,"
Agarwal Fortune India Ltd.,AGARWAL,Finance - NBFC,7.86,BSE,22.87,-0.13,1,2025-09,0.18,2025-09,43.89,1.97,11.22,1,2024-03,0.27,23.66,18.55,"AGARWAL,"
Futuristic Securities Ltd.,FUTURSEC,Finance - Investment,7.8,BSE,40.00,,1,2025-09,-0.02,2025-06,0,0,5.62,1,2024-03,0,-4.86,-6.22,"FUTURSEC,"
Prime Capital Market Ltd.,PRIMECAPM,Finance - NBFC,7.6,BSE,7.60,0.00,1,2025-06,0.52,2025-06,14.64,0.35,0.75,1,2025-03,0.02,6,8.25,"PRIMECAPM,"
Williamson Financial Services Ltd.,WILLIMFI,Finance - NBFC,7.29,BSE,8.72,4.93,1,2025-06,-5.1,2025-06,0,0,-0.02,1,2025-03,-1.22,0,-4.49,"WILLIMFI,"
Typhoon Financial Services Ltd.,TFSL,Finance - NBFC,7.25,BSE,24.16,5.00,1,2025-06,0.03,2025-06,213.22,13.59,0.99,1,2025-03,0,0.12,0.29,"TFSL,"
KZ Leasing & Finance Ltd.,KZLFIN,Finance - NBFC,7.24,BSE,23.81,-4.99,1,2025-06,-1.7,2025-06,0,,0.37,1,2025-03,0.11,-0.94,0.8,"KZLFIN,"
Panafic Industrials Ltd.,PANAFIC,Finance - NBFC,7.14,BSE,0.88,1.15,1,2025-06,0.12,2025-06,59.54,3.94,0.71,1,2024-03,0,0.22,0.3,"PANAFIC,"
BCL Enterprises Ltd.,BCLENTERPR,Finance - NBFC,7.11,BSE,0.61,-3.17,1,2025-03,0.7,2025-03,10.18,0.45,0.52,1,2024-03,0.1,-18.14,-17.3,"BCLENTERPR,"
Abhinav Leasing & Finance Ltd.,ALFL,Finance - NBFC,6.95,BSE,1.39,8.59,1,2025-06,-0.47,2025-06,0,0,1.09,1,2024-03,5.13,2.96,5.69,"ALFL,"
Polytex India Ltd.,POLYTEX,Finance - NBFC,6.75,BSE,5.00,,1,2025-06,-0.12,2025-06,0,,2.77,1,2024-03,0.06,-6.05,-5.72,"POLYTEX,"
Aravali Securities & Finance Ltd.,ARAVALIS,Finance - Investment,6.67,BSE,4.40,-3.30,1,2025-06,-0.24,2025-06,0,,-6.72,1,2025-03,-4,0,1.82,"ARAVALIS,"
Integra Capital Ltd.,INTCAPL,Finance - NBFC,6.66,BSE,14.16,0.00,1,2025-06,0.29,2025-06,22.96,1.48,1.28,1,2025-03,0,4.93,6.93,"INTCAPL,"
Scintilla Commercial & Credit Ltd.,SCC,Finance - Investment,6.49,BSE,6.47,,1,2025-06,0.06,2025-06,111.86,,0.65,2,2024-03,0.08,-21.71,-19.91,"SCC,"
Dharani Finance Ltd.,DHARFIN,Finance - Investment,6.45,BSE,12.92,-4.58,1,2025-06,0.69,2025-06,9.38,0.25,0.67,1,2025-03,0,9.25,9.52,"DHARFIN,"
Vintage Securities Ltd.,VINTAGES,Finance - NBFC,6.4,BSE,16.10,-3.42,1,2025-06,0.04,2025-06,156.15,4.65,0.47,1,2025-03,0,0.13,0.14,"VINTAGES,"
KLG Capital Services Ltd.,KLGCAP,Finance - Investment,6.37,BSE,19.90,,2,2025-06,-0.28,2025-06,0,0,0.88,2,2024-03,0.03,-0.55,-0.51,"KLGCAP,"
Atharv Enterprises Ltd.,ATHARVENT,Finance - Others,6.36,BSE,3.74,10.00,1,2025-06,0.19,2025-06,33.11,0.28,0.32,1,2025-03,0.04,0.96,1.35,"ATHARVENT,"
Aryan Share And Stock Brokers Ltd.,ARYAN,Finance - Stock Broking,6.27,BSE,20.89,0.00,1,2025-09,2.05,2025-09,3.05,,0.36,1,2025-03,0,-2.08,-0.54,"ARYAN,"
Seven Hill Industries Ltd.,SEVENHILL,Finance - Investment,6.24,BSE,0.48,,1,2024-12,3.65,2024-12,1.71,0.07,0.66,1,2024-03,0.71,43.97,23.71,"SEVENHILL,"
Tiaan Consumer Ltd.,TIAANC,Finance - Investment,6.23,BSE,6.07,3.94,1,2025-06,0.08,2025-06,76.95,-1.63,0.89,1,2025-03,358.17,0.5,0,"TIAANC,"
JPT Securities Ltd.,JPTSEC,Finance - Investment,6.12,BSE,20.37,,2,2025-06,-0.24,2025-06,0,0,1.76,2,2024-03,0.16,-19.31,-17.39,"JPTSEC,"
Nikki Global Finance Ltd.,NIKKIGL,Finance - Investment,6.11,BSE,17.87,-1.97,1,2025-09,-0.15,2025-09,0,0,4.99,1,2025-03,0.39,-2.57,-1.85,"NIKKIGL,"
Lead Financial Services Ltd.,LEADFIN,Finance - NBFC,6.11,BSE,18.51,0.00,1,2025-06,0.22,2025-06,27.51,0.86,0.99,1,2025-03,0,2.72,4.6,"LEADFIN,"
Kuber Udyog Ltd.,KUBERJI,Finance - NBFC,6.08,BSE,17.70,-2.37,1,2025-06,0.05,2025-06,119.15,7.29,1.58,1,2025-03,0.91,0.88,3.81,"KUBERJI,"
Cindrella Financial Services Ltd.,CINDRELL,Finance - NBFC,5.84,BSE,14.05,,2,2025-06,0.03,2025-06,70.42,-4.18,0.79,2,2025-03,0,1.98,2.58,"CINDRELL,"
Brijlaxmi Leasing & Finance Ltd.,BRIJLEAS,Finance - Investment,5.82,BSE,9.01,0.11,1,2025-06,2.4,2025-06,2.43,0.02,0.95,1,2024-03,3.93,21.39,10.83,"BRIJLEAS,"
M Lakhamsi Industries Ltd.,MLINDLTD,Finance - NBFC,5.72,BSE,9.58,,2,2025-06,0.61,2025-03,9.22,,0.69,2,2025-03,2.66,7.53,7.36,"MLINDLTD,"
Siddha Ventures Ltd.,SIDDHA,Finance - Investment,5.7,BSE,5.70,0.18,1,2025-06,-24.36,2025-06,0,0,0.39,2,2024-03,0,1.96,1.92,"SIDDHA,"
Kairosoft Ai Solutions Ltd.,VOLKAI,Finance - Investment,5.56,BSE,47.02,-3.94,1,2025-06,-4.36,2025-06,0,,0.15,1,2025-03,0,-8.16,-7.58,"VOLKAI,"
Asia Capital Ltd.,ASIACAP,Finance - NBFC,5.37,BSE,17.37,,1,2025-09,0.21,2024-12,16.89,3.27,1.05,1,2025-03,0.29,6.01,6.38,"ASIACAP,"
Sungold Capital Ltd.,SUNGOLD,Finance - NBFC,5.32,BSE,2.89,,1,2025-09,0.04,2025-09,132.97,18.54,0.24,1,2025-03,0.06,0.19,1.97,"SUNGOLD,"
Goyal Associates Ltd.,GOYALASS,Finance - NBFC,5.29,BSE,1.00,-0.99,1,2025-06,0.57,2025-06,9.35,0.27,0.96,1,2024-03,0.35,21.49,22.6,"GOYALASS,"
Wagend Infra Venture Ltd.,WAGEND,Finance - Investment,5.23,BSE,1.11,5.71,1,2025-06,0.01,2025-06,0,0,0.57,1,2024-03,0,-0.06,0.01,"WAGEND,"
Voltaire Leasing & Finance Ltd.,VOLLF,Finance - NBFC,5.14,BSE,12.47,-0.08,1,2025-09,-0.44,2025-09,0,,0.29,1,2025-03,0,-0.48,-0.43,"VOLLF,"
BP Capital Ltd.,BPCAP,Finance - NBFC,5.05,BSE,8.40,,1,2025-06,-0.16,2025-06,0,0,1.13,1,2024-03,0.2,-2.99,-2.52,"BPCAP,"
Superior Finlease Ltd.,SUPERIOR,Finance - Investment,4.5,BSE,1.50,5.63,1,2025-06,-0.05,2025-06,0,0,1.18,1,2025-03,8.68,0.29,0.03,"SUPERIOR,"
Premium Capital Market & Investment Ltd.,PREMCAPM,Finance - Investment,4.46,BSE,6.81,,1,2025-06,-0.36,2025-06,0,,-6.81,1,2025-03,0,0,0,"PREMCAPM,"
Befound Movement Ltd.,BEFOUNDMOL,Finance - NBFC,4.44,BSE,4.44,1.83,1,2025-06,0.09,2025-06,48.79,1.07,-22.49,1,2025-03,-10.53,0,3.3,"BEFOUNDMOL,"
Rajkot Investment Trust Ltd.,RAJKOTINV,Finance - NBFC,4.24,BSE,42.30,-3.86,1,2025-06,0.17,2025-06,24.8,0.69,0.88,1,2024-03,4.66,1.21,0.51,"RAJKOTINV,"
Peoples Investments Ltd.,PEOPLIN,Finance - Investment,4.2,BSE,209.95,,1,2025-09,-0.03,2025-06,0,,93.54,1,2025-03,0,-70.14,-70.13,"PEOPLIN,"
Amarnath Securities Ltd.,AMARSEC,Finance - Investment,4.11,BSE,13.69,1.86,1,2025-06,0.19,2025-06,21.17,2.11,0.91,1,2025-03,0.15,4.4,5.85,"AMARSEC,"
Ken Financial Services Ltd.,KENFIN,Finance - NBFC,4.05,BSE,13.50,-4.26,1,2025-06,0.23,2025-06,17.69,-0.41,0.55,1,2025-03,0.32,1.16,3.1,"KENFIN,"
Amerise Biosciences Ltd.,AMERISE,Finance - Investment,4.03,BSE,0.61,-6.15,1,2025-09,0.04,2025-09,100.76,6.61,0.76,1,2025-03,0,0.11,0.15,"AMERISE,"
Swadha Nature Ltd.,SWADHATURE,Finance - Investment,3.85,BSE,9.41,,1,2025-09,-0.11,2025-09,0,,6.89,1,2025-03,0.35,-4.21,-3.42,"SWADHATURE,"
Mahan Industries Ltd.,MAHANIN,Finance - NBFC,3.73,BSE,8.30,,1,2025-06,-0.11,2025-06,0,0,0.71,1,2024-03,1.14,-1.63,-0.33,"MAHANIN,"
Ekam Leasing & Finance Company Ltd.,EKAMLEA,Finance - NBFC,3.69,BSE,6.15,1.15,2,2025-06,-1.06,2025-06,0,,0.47,2,2024-03,0.18,7.39,10.6,"EKAMLEA,"
AAR Shyam India Investment Co Ltd.,AARSHYAM,Finance - Investment,3.69,BSE,12.30,,1,2025-06,-0.68,2025-06,0,0,1.28,1,2024-03,0.09,-9.82,-8.98,"AARSHYAM,"
GCM Commodity & Derivatives Ltd.,GCMCOMM,Finance - Investment,3.53,BSE,4.75,,1,2025-03,-4.41,2025-03,0,,0.6,1,2025-03,0,-50.31,-49.68,"GCMCOMM,"
Kanungo Financiers Ltd.,KANUNGO,Finance - Investment,3.24,BSE,6.99,-4.64,1,2025-06,0.22,2025-06,14.4,0.43,0.51,1,2025-03,3.6,3.83,6.22,"KANUNGO,"
SSPN Finance Ltd.,SSPNFIN,Finance - Investment,3.21,BSE,8.49,,1,2025-03,0.01,2025-03,321.47,-8.46,0.75,1,2024-03,0.26,0.16,1.74,"SSPNFIN,"
Concrete Infra & Media Ltd.,CONCRETE,Finance - Investment,3.14,BSE,4.17,,1,2022-09,0.49,2022-09,6.36,0.04,,1,2022-03,0,6.01,8.12,"CONCRETE,"
Vax Housing Finance Corporation Ltd.,VAXHS,Finance - Housing,3.07,BSE,2.58,,1,2022-09,0,2022-09,0,0,,1,2022-03,0,0,0,"VAXHS,"
Shikhar Consultants Ltd.,SHIKHAR,Finance - Investment,3.04,BSE,6.70,,1,2025-06,-0.1,2025-06,0,0,1.71,1,2024-03,0.44,-22.98,-18.24,"SHIKHAR,"
Oswal Leasing Ltd.,OSWALEA,Finance - NBFC,2.94,BSE,58.71,,1,2025-06,-0.02,2025-06,0,,1.05,1,2025-03,0,-0.77,-0.77,"OSWALEA,"
Charms Industries Ltd.,CHARMS,Finance - Others,2.63,BSE,6.41,,1,2025-06,-0.15,2025-06,0,0,-185.26,1,2024-03,2.44,-57.32,-24.86,"CHARMS,"
Brilliant Portfolios Ltd.,BRIPORT,Finance - Others,2.5,BSE,8.06,,1,2025-06,0.55,2025-06,4.58,0.95,0.27,1,2025-03,1.92,6.11,9.19,"BRIPORT,"
HEM Holdings & Trading Ltd.,ZHEMHOLD,Finance - Investment,2.43,BSE,101.34,,1,2025-06,-1.02,2025-06,0,,1.05,1,2025-03,0,-46.88,-46.84,"ZHEMHOLD,"
Indo Credit Capital Ltd.,INDOCRED,Finance - NBFC,2.36,BSE,3.26,,1,2025-09,0,2025-09,589.31,44.88,0.41,1,2025-03,0,-0.87,-0.86,"INDOCRED,"
Aneri Fincap Ltd.,ANERI,Finance - Investment,2.31,BSE,7.68,,1,2024-06,-34.02,2024-06,0,,-0.05,1,2023-03,-3.26,0,-33.19,"ANERI,"
Geetanjali Credit and Capital Ltd.,GEETANJ,Finance - NBFC,1.82,BSE,4.11,,1,2025-09,-0.06,2025-09,0,,0.59,1,2025-03,0.01,-1.11,-1.1,"GEETANJ,"
Regal Entertainment & Consultants Ltd.,REGAL,Finance - Investment,1.8,BSE,5.85,,1,2025-06,0.33,2022-12,128.37,1.22,1.01,1,2025-03,0.3,25.95,29,"REGAL,"
Wardwizard Healthcare Ltd.,WARDHEALTH,Finance - Investment,0.96,BSE,39.19,,1,2025-06,-2.77,2025-06,0,,-0.29,1,2024-03,-1.13,0,-775.6,"WARDHEALTH,"
Gold Rock Investments Ltd.,ZGOLDINV,Finance - Investment,0.91,BSE,11.57,,1,2025-06,19.47,2024-06,0.13,0,0.01,2,2024-03,0.01,2.16,2.85,"ZGOLDINV,"
Mrugesh Trading Ltd.,MRUTR,Finance - Investment,0.59,BSE,2.42,4.76,1,2025-06,0.35,2025-06,1.68,0.04,0.03,1,2023-03,4.73,-32.21,-10.79,"MRUTR,"
Magnanimous Trade & Finance Ltd.,MAGANTR,Finance - Investment,0.54,BSE,5.64,,1,2025-06,7.66,2024-06,0.03,0,0.02,2,2024-03,0,102.59,125.73,"MAGANTR,"
Silicon Valley Infotech Ltd.,SILICON,Finance - Investment,0.39,BSE,0.03,,1,2025-06,0.18,2025-06,2.22,0.15,-1.05,1,2024-03,0,0,-78.82,"SILICON,"
Jupiter Industries & Leasing Ltd.,JPTRLES,Finance - Investment,0.36,BSE,3.62,,1,2025-09,-0.07,2024-09,0,0,-0.17,1,2024-03,-0.4,0,0,"JPTRLES,"
